Geo_code,Geo_name,Indicator_wall_insulation,Indicator_wall_insulation_deciles,Indicator_roof_insulation,Indicator_roof_insulation_deciles,Indicator_floor_insulation,Indicator_floor_insulation_deciles,Indicator_property_type,Indicator_property_type_deciles,Indicator_property_age,Indicator_property_age_deciles,Indicator_age_population,Indicator_age_population_deciles,Indicator_health_conditions,Indicator_health_conditions_deciles,Indicator_fuel_poverty,Indicator_fuel_poverty_deciles,Country,Country_denominator,Geo_type,Combined,Combined_deciles,Insulation_supply,Insulation_supply_deciles
E14001556,Twickenham,511,10,496,10,99,2,70,2,488,9,168,4,55,1,73,2,England,543,Westminster Constituency,241,5,35,10
E14001557,Tynemouth,282,6,314,6,320,6,111,3,441,9,407,8,486,9,103,2,England,543,Westminster Constituency,331,7,313,5
E14001558,Uxbridge and South Ruislip,428,8,392,8,149,3,100,2,282,6,85,2,75,2,59,2,England,543,Westminster Constituency,82,2,110,8
E14001559,Vauxhall and Camberwell Green,472,9,292,6,7,1,5,1,427,8,24,1,11,1,89,2,England,543,Westminster Constituency,80,2,25,10
E14001560,Wakefield and Rothwell,110,2,255,5,263,5,264,5,297,6,209,4,310,6,389,8,England,543,Westminster Constituency,174,4,183,7
E14001561,Wallasey,465,9,403,8,464,9,212,4,495,10,351,7,476,9,445,9,England,543,Westminster Constituency,491,10,153,8
E14001562,Walsall and Bloxwich,338,7,451,9,278,6,189,4,373,7,102,2,262,5,539,10,England,543,Westminster Constituency,435,8,205,7
E14001563,Walthamstow,507,10,492,10,47,1,40,1,519,10,17,1,14,1,367,7,England,543,Westminster Constituency,306,6,58,9
E14001564,Warrington North,102,2,260,5,518,10,391,8,117,3,288,6,354,7,203,4,England,543,Westminster Constituency,261,5,2,10
E14001565,Warrington South,157,3,184,4,169,4,292,6,104,2,255,5,266,5,147,3,England,543,Westminster Constituency,83,2,29,10
E14001566,Warwick and Leamington,207,4,189,4,80,2,146,3,151,3,180,4,164,3,392,8,England,543,Westminster Constituency,90,2,279,5
E14001567,Washington and Gateshead South,4,1,229,5,525,10,394,8,167,4,353,7,477,9,88,2,England,543,Westminster Constituency,341,7,284,5
E14001568,Watford,420,8,294,6,66,2,69,2,305,6,81,2,88,2,118,3,England,543,Westminster Constituency,69,2,118,8
E14001569,Waveney Valley,113,3,81,2,438,9,537,10,195,4,529,10,398,8,300,6,England,543,Westminster Constituency,477,9,315,5
E14001570,Weald of Kent,151,3,239,5,205,4,496,10,231,5,477,9,244,5,233,5,England,543,Westminster Constituency,288,6,391,3
E14001571,Wellingborough and Rushden,99,2,61,2,273,5,323,6,125,3,237,5,252,5,325,6,England,543,Westminster Constituency,107,2,482,2
E14001572,Wells and Mendip Hills,227,5,83,2,304,6,467,9,207,4,506,10,372,7,298,6,England,543,Westminster Constituency,373,7,316,5
E14001573,Welwyn Hatfield,68,2,170,4,148,3,138,3,42,1,135,3,108,2,54,1,England,543,Westminster Constituency,10,1,96,9
E14001574,West Bromwich,333,7,371,7,315,6,213,4,215,4,142,3,219,4,499,10,England,543,Westminster Constituency,273,5,189,7
E14001575,West Dorset,246,5,112,3,279,6,255,5,217,4,540,10,523,10,324,6,England,543,Westminster Constituency,496,10,390,3
E14001576,West Ham and Beckton,272,5,313,6,29,1,30,1,92,2,6,1,12,1,218,4,England,543,Westminster Constituency,27,1,133,8
E14001577,West Lancashire,177,4,433,8,459,9,414,8,209,4,358,7,362,7,314,6,England,543,Westminster Constituency,337,7,19,10
E14001578,West Suffolk,62,2,31,1,301,6,456,9,57,2,273,5,296,6,164,3,England,543,Westminster Constituency,118,3,443,2
E14001579,West Worcestershire,239,5,178,4,270,5,392,8,307,6,523,10,377,7,494,10,England,543,Westminster Constituency,465,9,366,4
E14001580,Westmorland and Lonsdale,380,7,246,5,351,7,305,6,422,8,517,10,433,8,327,6,England,543,Westminster Constituency,454,9,535,1
E14001581,Weston-super-Mare,244,5,89,2,115,3,135,3,200,4,370,7,424,8,308,6,England,543,Westminster Constituency,187,4,327,4
E14001582,Wetherby and Easingwold,199,4,90,2,343,7,514,10,192,4,485,9,379,7,297,6,England,543,Westminster Constituency,388,8,207,7
E14001583,Whitehaven and Workington,402,8,415,8,512,10,470,9,411,8,409,8,532,10,371,7,England,543,Westminster Constituency,525,10,535,1
E14001584,Widnes and Halewood,117,3,238,5,421,8,390,8,121,3,271,5,395,8,231,5,England,543,Westminster Constituency,211,4,87,9
E14001585,Wigan,213,4,377,7,440,9,368,7,393,8,262,5,470,9,364,7,England,543,Westminster Constituency,397,8,4,10
E14001586,Wimbledon,517,10,513,10,72,2,60,2,493,10,129,3,22,1,67,2,England,543,Westminster Constituency,251,5,37,10
E14001587,Winchester,103,2,127,3,196,4,246,5,155,3,365,7,171,4,114,3,England,543,Westminster Constituency,81,2,267,6
E14001588,Windsor,349,7,385,8,191,4,131,3,197,4,176,4,92,2,40,1,England,543,Westminster Constituency,73,2,179,7
E14001589,Wirral West,415,8,386,8,534,10,327,6,380,7,521,10,480,9,185,4,England,543,Westminster Constituency,516,10,102,9
E14001590,Witham,56,2,109,2,225,5,388,8,62,2,382,8,232,5,129,3,England,543,Westminster Constituency,105,2,337,4
E14001591,Witney,44,1,27,1,94,2,417,8,22,1,289,6,234,5,56,2,England,543,Westminster Constituency,62,2,512,1
E14001592,Woking,208,4,173,4,171,4,119,3,58,2,186,4,87,2,21,1,England,543,Westminster Constituency,22,1,232,6
